family,average_only_value,stock_average_value,average_only_early_exercise,gain_mean,gain_se,gain_ci_low,gain_ci_high
quadratic,3.3632172943455867,3.9530718787895616,0.06566,0.5898545844439749,0.008135617384625515,0.5739087743701089,0.6058003945178408
neural,3.3669063914291497,3.9488812801323623,0.11826,0.5819748887032122,0.008011990831716087,0.5662713866730487,0.5976783907333758
