name,family,train_mse,validation_mse,train_seconds,prediction_seconds,best_epoch
quadratic,quadratic,4.889144865508732,4.9821442733320245,0.0005242499973974191,0.0003186249996360857,
ridge_d1_a0.01,ridge,5.223244070302565,5.276270898629693,0.0010072500008391216,0.00032587500027148053,
ridge_d1_a1.0,ridge,5.223244176743185,5.276241357595284,0.000866999998834217,0.0002992920017277356,
ridge_d1_a100.0,ridge,5.2242935259973295,5.274346547226943,0.0008362920016224962,0.0002961249992949888,
ridge_d2_a0.01,ridge,4.889150690889226,4.98210129632921,0.001306707999901846,0.0004944579995935783,
ridge_d2_a1.0,ridge,4.904149552103209,4.99245526099828,0.0012225840000610333,0.0004374169984657783,
ridge_d2_a100.0,ridge,5.205325773097096,5.2640222092878854,0.001238000000739703,0.0005145420000189915,
ridge_d3_a0.01,ridge,4.887785675213477,4.980885367856491,0.0018993750018125866,0.000995957998384256,
ridge_d3_a1.0,ridge,4.892878027564161,4.980400806960955,0.0019287920003989711,0.000862540997331962,
ridge_d3_a100.0,ridge,5.081581812232659,5.149642667094657,0.0018510410009184852,0.0009113330015679821,
forest_d4,forest,5.175936693625344,5.510222115517135,0.10724633300196729,0.018510665999201592,
forest_d8,forest,4.631036458274055,5.107265083642498,0.15639058300075703,0.035671207999257604,
boost_l7,boost,4.783676294900779,5.073329622427164,0.02093366699773469,0.022128666001663078,
boost_l15,boost,4.6648724936479775,5.073951681391834,0.028527791997476015,0.033513916001538746,
neural_w16_adam_wd0.0001,neural,4.87530182050106,4.97808998295589,1.3217978339998808,0.0010095830002683215,64
neural_w32_adam_wd0.0001,neural,4.876552367668082,4.976475016621729,0.15489841700036777,0.001300416999583831,20
neural_w32_adam_wd0.01,neural,4.945224539359007,5.014675228153097,0.15023849999852246,0.0013437090019579045,20
neural_w32_sgd_wd0.0001,neural,4.886295778545204,4.979882356301417,0.23933191700052703,0.0012414170014380943,44
