family,mean,se,ci_low,ci_high,training_seconds
quadratic,6.022755327809939,0.03194834878573716,5.960136564189894,6.085374091429984,0.025272040998970624
forest,5.919760220329147,0.032424722610682584,5.856207764012209,5.983312676646085,5.272627625003224
neural,6.022030346204694,0.03054577901036995,5.9621606193443695,6.081900073065019,4.2787827079991985
